First Index,Second Index,Similarity
0,10011,0.859143078327179
1,10012,0.859143078327179
2,10001,0.956043004989624
3,10008,0.9331138134002686
5,10003,0.9056527614593506
6,10006,0.8877313137054443
7,10005,0.8852487802505493
8,10000,0.9352117776870728
9,10021,0.8559602499008179
11,10019,0.8859792947769165
13,10009,0.9327967762947083
14,10020,0.776561975479126
19,10022,0.9300724864006042
20,10015,0.9000447988510132
21,10013,0.8468682765960693
23,10014,0.8709895610809326
25,10023,0.9212348461151123
27,10026,0.8920577764511108
47,10027,0.9136732220649719
48,10030,0.9062955975532532
49,10031,0.7868194580078125
50,10033,0.9118547439575195
51,10029,0.9345964193344116
52,10032,0.9062955975532532
53,10035,0.8128415942192078
55,14326,0.8096420764923096
58,10047,0.9679377675056458
59,10036,0.9534409046173096
60,10059,0.8250291347503662
61,10041,0.9574575424194336
62,10038,0.9574184417724609
63,10056,0.7975083589553833
64,10039,0.9041823148727417
68,10051,0.8660991191864014
70,10052,0.8167096972465515
71,10037,0.9387582540512085
72,10042,0.8946061134338379
75,10048,0.9329527616500854
77,10040,0.9357771873474121
79,10054,0.8727912306785583
80,10060,0.9090007543563843
81,10043,0.8685709238052368
86,10083,0.9023635387420654
88,10057,0.771255612373352
91,10058,0.8258845806121826
93,10064,0.8708968162536621
94,10067,0.9005205035209656
95,10053,0.9293529391288757
98,10061,0.9778686761856079
99,10062,0.9778686761856079
100,10063,0.9526060223579407
101,10068,0.8807364702224731
103,10072,0.8560200333595276
104,10071,0.8539634943008423
105,10074,0.8539634943008423
106,10073,0.8560200333595276
107,10075,0.9291865229606628
108,10076,0.9291865229606628
109,10077,0.9291865229606628
111,10079,0.9335413575172424
113,10094,0.9521064758300781
114,10081,0.9393140077590942
115,10084,0.9943781495094299
116,10085,0.9943781495094299
121,10090,0.8906316757202148
123,10088,0.958731472492218
125,10089,0.958731472492218
126,10093,0.9109319448471069
128,10086,0.9345470070838928
129,10096,0.904068112373352
130,10101,0.9290680885314941
131,10117,0.9012380838394165
132,10132,0.9446147084236145
135,10133,0.8004816174507141
140,10151,0.9154691100120544
142,10152,0.8739867210388184
