First Index,Second Index,Similarity,Total Neighbors a,Total Neighbors a_star,Matching Neighbor Pairs,total_b,total_b_star,b / a_neigh,b_star / a_star_neigh
6609,15806,0.9212697744369508,2,3,0,0,0,0.0,0.0
415,9516,0.8997337818145752,8,3,1,1,1,0.125,0.3333333
7548,16808,0.928293228149414,8,13,4,4,4,0.5,0.3076923
7796,17059,0.8994120955467224,35,27,14,14,14,0.4,0.5185185
988,10052,0.7855616807937622,28,23,12,12,12,0.4285714,0.5217391
2488,11536,0.9776682257652284,50,25,18,18,18,0.36,0.72
586,9663,0.9153039455413818,86,75,65,65,65,0.755814,0.8666667
5792,14995,0.9170645475387572,5,7,4,4,4,0.8,0.5714286
7570,16832,0.7558296322822571,20,18,12,12,12,0.6,0.6666667
5376,14522,0.9646537899971008,3,4,2,2,2,0.6666667,0.5
5803,15004,0.3043353259563446,8,8,5,5,5,0.625,0.625
9067,18390,0.8263389468193054,9,8,4,4,4,0.4444444,0.5
5206,14376,0.9686906337738036,6,2,1,1,1,0.1666667,0.5
2951,12056,0.9650572538375854,39,26,12,12,12,0.3076923,0.4615385
8263,17549,0.9372432231903076,4,9,4,4,4,1.0,0.4444444
1884,10905,0.8007603883743286,4,6,3,3,3,0.75,0.5
6696,15895,0.905915379524231,21,13,6,6,6,0.2857143,0.4615385
1062,10122,0.9326783418655396,3,2,0,0,0,0.0,0.0
1887,10910,1.0,2,3,1,1,1,0.5,0.3333333
552,9642,0.9027960300445556,17,18,6,6,6,0.3529412,0.3333333
8643,17955,0.9723626375198364,8,9,4,4,4,0.5,0.4444444
7529,16772,0.960546374320984,9,4,3,3,3,0.3333333,0.75
2008,11056,0.9139001369476318,15,14,10,10,10,0.6666667,0.7142857
4852,14005,0.9493258595466614,9,6,1,1,1,0.1111111,0.1666667
5671,14862,0.9264007806777954,6,3,0,0,0,0.0,0.0
1683,10707,0.9376233816146852,2,2,0,0,0,0.0,0.0
6902,16121,0.9727747440338136,2,3,0,0,0,0.0,0.0
5954,15150,0.9848359823226928,3,3,3,3,3,1.0,1.0
7740,16991,0.9523217678070068,48,50,24,24,24,0.5,0.48
1159,10212,0.9261621832847596,9,6,3,3,3,0.3333333,0.5
5013,14187,0.9585460424423218,14,6,4,4,4,0.2857143,0.6666667
6304,15528,0.9332255125045776,66,38,29,29,29,0.4393939,0.7631579
8378,17656,0.969485342502594,9,3,2,2,2,0.2222222,0.6666667
5932,15131,0.9011675119400024,6,5,2,2,2,0.3333333,0.4
330,9427,0.8932163715362549,14,15,7,7,7,0.5,0.4666667
5736,14927,0.9685655832290648,15,13,10,10,10,0.6666667,0.7692308
7375,16606,0.8614611625671387,9,11,4,4,4,0.4444444,0.3636364
6242,15473,0.9561439752578736,2,2,1,1,1,0.5,0.5
4308,13468,0.9713255167007446,2,2,1,1,1,0.5,0.5
6755,15958,0.9255051612854004,14,8,4,4,4,0.2857143,0.5
6234,15469,0.8836292028427124,10,7,4,4,4,0.4,0.5714286
7002,16244,0.9645670652389526,2,3,1,1,1,0.5,0.3333333
7083,16318,0.9704280495643616,4,2,1,1,1,0.25,0.5
8772,18077,0.949386477470398,26,18,12,12,12,0.4615385,0.6666667
5685,14881,0.9315455555915833,10,7,0,0,0,0.0,0.0
1265,10315,0.981498956680298,6,3,0,0,0,0.0,0.0
5737,14928,0.9808419346809388,2,2,2,2,2,1.0,1.0
6704,15912,0.972652792930603,13,3,1,1,1,0.0769231,0.3333333
5936,15137,0.9711083173751832,12,17,1,1,1,0.0833333,0.0588235
5442,14602,0.974583387374878,4,5,3,3,3,0.75,0.6
6756,15959,0.9587031006813048,11,7,2,2,2,0.1818182,0.2857143
6315,15542,0.9209689497947692,16,7,3,3,3,0.1875,0.4285714
334,9433,0.9055182933807372,14,10,7,7,7,0.5,0.7
5548,14732,0.9563069343566896,17,14,9,9,9,0.5294118,0.6428571
926,9982,0.8593864440917969,21,9,5,5,5,0.2380952,0.5555556
6319,15549,0.93533194065094,3,7,2,2,2,0.6666667,0.2857143
5272,14419,0.9390899538993835,16,16,9,9,9,0.5625,0.5625
7138,16369,0.9105100631713868,66,59,33,33,33,0.5,0.559322
1698,10727,0.92645001411438,2,3,1,1,1,0.5,0.3333333
2085,11136,0.908583164215088,29,24,14,14,14,0.4827586,0.5833333
2388,11439,0.9668738842010498,6,8,2,2,2,0.3333333,0.25
3287,12405,0.9772648811340332,2,2,1,1,1,0.5,0.5
3534,12654,0.9600565433502196,10,11,4,4,4,0.4,0.3636364
7168,16397,0.9630234241485596,6,5,3,3,3,0.5,0.6
7780,17041,0.919751763343811,6,9,1,1,1,0.1666667,0.1111111
3046,12162,0.9540297389030457,10,9,4,4,4,0.4,0.4444444
5305,14452,0.9505051374435424,5,8,5,5,5,1.0,0.625
1258,10311,0.9235106706619264,26,27,9,9,9,0.3461538,0.3333333
2118,11169,0.9860011339187622,2,2,1,1,1,0.5,0.5
4965,14124,0.9508946537971495,2,3,0,0,0,0.0,0.0
2708,11794,0.9783140420913696,4,7,2,2,2,0.5,0.2857143
100,9207,0.9757471084594728,5,4,1,1,1,0.2,0.25
3431,12534,0.9532052874565125,10,17,4,4,4,0.4,0.2352941
5350,14496,0.9406113624572754,6,7,1,1,1,0.1666667,0.1428571
962,10025,0.9661639928817748,2,2,1,1,1,0.5,0.5
1043,10099,0.9800716638565063,6,2,2,2,2,0.3333333,1.0
6382,15609,0.9246867299079896,3,2,0,0,0,0.0,0.0
4788,13938,0.9698096513748168,8,10,5,5,5,0.625,0.5
3633,12754,0.9824020862579346,7,9,6,6,6,0.8571429,0.6666667
5239,14399,0.8152768015861511,22,21,9,9,9,0.4090909,0.4285714
2506,11552,0.9520692229270936,7,5,3,3,3,0.4285714,0.6
3999,13140,0.9582397937774658,6,8,2,2,2,0.3333333,0.25
984,10049,0.9079529047012328,20,27,8,8,8,0.4,0.2962963
4722,13880,0.9200856685638428,5,4,2,2,2,0.4,0.5
9030,18354,0.9633169770240784,2,2,0,0,0,0.0,0.0
3442,12548,0.9627400636672974,22,19,12,12,12,0.5454545,0.6315789
2627,11698,0.9126166701316832,32,16,12,12,12,0.375,0.75
1989,11032,0.9381404519081116,32,19,8,8,8,0.25,0.4210526
8048,17326,0.9115481376647948,32,20,4,4,4,0.125,0.2
2958,12062,0.9471273422241212,9,6,1,1,1,0.1111111,0.1666667
4825,13977,0.8283005952835083,13,7,4,4,4,0.3076923,0.5714286
5665,14857,0.9462294578552246,15,9,6,6,6,0.4,0.6666667
7610,16871,0.9198772311210632,8,8,4,4,4,0.5,0.5
7691,16945,0.901020884513855,14,11,3,3,3,0.2142857,0.2727273
1491,10532,0.9877864122390748,2,3,1,1,1,0.5,0.3333333
4289,13445,0.8459064960479736,7,7,5,5,5,0.7142857,0.7142857
1542,10577,0.9826030135154724,3,3,2,2,2,0.6666667,0.6666667
4448,13618,0.6208027601242065,16,13,6,6,6,0.375,0.4615385
4260,13418,0.9655845165252686,2,5,2,2,2,1.0,0.4
1094,10158,0.964208722114563,14,11,8,8,8,0.5714286,0.7272727
7274,16513,0.9052890539169312,27,13,3,3,3,0.1111111,0.2307692
20,9111,0.9519275426864624,8,6,3,3,3,0.375,0.5
4807,13965,0.9146766662597656,4,3,1,1,1,0.25,0.3333333
5666,14858,0.9291638135910034,4,4,2,2,2,0.5,0.5
5419,14572,0.9691445231437684,17,18,7,7,7,0.4117647,0.3888889
31,9120,0.7037855386734009,14,8,3,3,3,0.2142857,0.375
44,9139,0.9840317964553832,5,3,1,1,1,0.2,0.3333333
1543,10578,0.9401603937149048,11,16,6,6,6,0.5454545,0.375
2368,11415,0.9289705753326416,36,25,13,13,13,0.3611111,0.52
7315,16550,0.7980701327323914,32,29,22,22,22,0.6875,0.7586207
4880,14034,0.9444501399993896,14,7,1,1,1,0.0714286,0.1428571
5871,15083,0.955851435661316,16,6,3,3,3,0.1875,0.5
2365,11409,0.8854488730430603,4,4,1,1,1,0.25,0.25
8476,17781,0.8396956920623779,3,5,0,0,0,0.0,0.0
769,9845,0.9680559039115906,14,8,6,6,6,0.4285714,0.75
6149,15356,0.9372318983078004,20,25,11,11,11,0.55,0.44
2309,11365,0.974448025226593,8,7,5,5,5,0.625,0.7142857
7049,16287,0.9742472171783448,2,2,1,1,1,0.5,0.5
2855,11947,0.9603524208068848,9,9,6,6,6,0.6666667,0.6666667
6773,15974,0.9142043590545654,13,18,9,9,9,0.6923077,0.5
5001,14180,0.9494763612747192,24,26,12,12,12,0.5,0.4615385
1339,10375,0.9571218490600586,22,16,6,6,6,0.2727273,0.375
5872,15084,0.9547299146652222,20,23,7,7,7,0.35,0.3043478
5891,15097,0.9805359840393066,4,3,2,2,2,0.5,0.6666667
6879,16104,0.8882145881652832,10,14,6,6,6,0.6,0.4285714
7510,16761,0.9311386346817015,2,3,2,2,2,1.0,0.6666667
8708,18023,0.3821150064468384,3,3,1,1,1,0.3333333,0.3333333
1582,10627,0.97467041015625,4,3,2,2,2,0.5,0.6666667
921,9978,0.9668500423431396,10,14,2,2,2,0.2,0.1428571
2781,11854,0.9715201258659364,9,12,5,5,5,0.5555556,0.4166667
2121,11170,0.8860070109367371,26,25,13,13,13,0.5,0.52
843,9915,0.9703660607337952,9,5,3,3,3,0.3333333,0.6
883,9951,0.9437636137008668,9,5,2,2,2,0.2222222,0.4
1856,10866,0.9425264596939088,8,6,1,1,1,0.125,0.1666667
6164,15377,0.8445325493812561,20,10,4,4,4,0.2,0.4
2582,11644,0.923167645931244,9,7,3,3,3,0.3333333,0.4285714
7134,16366,0.9652180671691896,10,12,5,5,5,0.5,0.4166667
1786,10807,0.973853588104248,13,9,5,5,5,0.3846154,0.5555556
2685,11773,0.9589006900787354,36,42,18,18,18,0.5,0.4285714
7458,16692,0.8605695962905884,4,8,2,2,2,0.5,0.25
884,9952,0.8761897087097168,5,6,3,3,3,0.6,0.5
5130,14302,0.9320860505104064,10,4,3,3,3,0.3,0.75
7856,17110,0.9410939812660216,12,12,7,7,7,0.5833333,0.5833333
968,10031,0.9669223427772522,43,37,18,18,18,0.4186047,0.4864865
7827,17083,0.97538959980011,4,4,2,2,2,0.5,0.5
7418,16655,0.955597996711731,19,15,8,8,8,0.4210526,0.5333333
7650,16898,0.961131513118744,10,8,2,2,2,0.2,0.25
396,9496,0.9281553626060486,2,2,0,0,0,0.0,0.0
3437,12545,0.9117761850357056,67,64,35,35,35,0.5223881,0.546875
4175,13328,0.888296902179718,2,4,2,2,2,1.0,0.5
5134,14308,0.338190495967865,5,4,4,4,4,0.8,1.0
3607,12727,0.9790536165237428,14,16,6,6,6,0.4285714,0.375
4226,13379,0.905568301677704,6,4,3,3,3,0.5,0.75
5193,14363,0.9053338170051576,6,11,4,4,4,0.6666667,0.3636364
4205,13356,0.939286470413208,9,9,5,5,5,0.5555556,0.5555556
8611,17924,0.9433373212814332,4,4,2,2,2,0.5,0.5
5216,14383,0.8904876708984375,24,14,10,10,10,0.4166667,0.7142857
5208,14379,0.7479711174964905,53,32,24,24,24,0.4528302,0.75
513,9608,0.9293113946914672,30,23,17,17,17,0.5666667,0.7391304
140,9246,0.9275047779083252,12,8,5,5,5,0.4166667,0.625
7266,16499,0.9792531728744508,6,5,2,2,2,0.3333333,0.4
1885,10906,0.8795038461685181,3,2,0,0,0,0.0,0.0
8092,17364,0.9234737157821656,4,3,0,0,0,0.0,0.0
3662,12784,0.7337328791618347,6,12,4,4,4,0.6666667,0.3333333
514,9609,0.9389693737030028,4,3,1,1,1,0.25,0.3333333
141,9247,0.8769047260284424,13,17,7,7,7,0.5384615,0.4117647
2546,11591,0.8104245662689209,20,15,9,9,9,0.45,0.6
